n.uniprot,n.name,n.description,n.match_community,n.normal_community,n.primary_community,n.match_degree,n.normal_degree,n.primary_degree,n.pagerank_match,n.pagerank_normal,n.pagerank_primary
Q5JU69,TOR2A,torsin family 2 member A [Source:HGNC Symbol;Acc:HGNC:11996],0,null,null,1,0,0,0.3571705,0.15000000000000002,0.15000000000000002
Q9BUH6,PAXX,PAXX non-homologous end joining factor [Source:HGNC Symbol;Acc:HGNC:27849],0,null,0,3,0,6,0.571736,0.15000000000000002,1.9402445000000001
P57737,CORO7,coronin 7 [Source:HGNC Symbol;Acc:HGNC:26161],0,0,0,6,1,1,0.8336209999999998,0.25055499999999997,0.45881350000000004
P62945,RPL41,ribosomal protein L41 [Source:HGNC Symbol;Acc:HGNC:10354],1,1,null,4,57,0,0.41258200000000006,1.2451484999999998,0.15000000000000002
P63173,RPL38,ribosomal protein L38 [Source:HGNC Symbol;Acc:HGNC:10349],1,1,1,38,79,24,1.8703830000000001,1.7668954999999997,2.3058465
P61927,RPL37,ribosomal protein L37 [Source:HGNC Symbol;Acc:HGNC:10347],1,1,1,25,59,7,1.41157,1.2615705,0.7062740000000002
P61353,RPL27,ribosomal protein L27 [Source:HGNC Symbol;Acc:HGNC:10328],1,1,1,17,77,8,1.0110500000000004,1.8087664999999997,0.8758234999999999
P62241,RPS8,ribosomal protein S8 [Source:HGNC Symbol;Acc:HGNC:10441],1,1,1,17,89,13,1.058327,1.8121665,1.4468109999999998
P62244,RPS15A,ribosomal protein S15a [Source:HGNC Symbol;Acc:HGNC:10389],1,1,null,13,53,0,0.7999354999999998,1.1358215,0.15000000000000002
P63220,RPS21,ribosomal protein S21 [Source:HGNC Symbol;Acc:HGNC:10409],1,1,1,27,69,12,1.3780035,1.5038799999999999,1.0996454999999998
P62899,RPL31,ribosomal protein L31 [Source:HGNC Symbol;Acc:HGNC:10334],1,1,1,37,85,12,1.9903944999999998,1.687565,1.2523139999999997
P62266,RPS23,ribosomal protein S23 [Source:HGNC Symbol;Acc:HGNC:10410],1,1,null,10,1,0,0.8326689999999999,0.1696435,0.15000000000000002
Q13765,NACA,nascent polypeptide associated complex subunit alpha [Source:HGNC Symbol;Acc:HGNC:7629],1,1,null,15,3,0,0.9076050000000002,0.21239000000000002,0.15000000000000002
P27635,RPL10,ribosomal protein L10 [Source:HGNC Symbol;Acc:HGNC:10298],1,1,null,7,72,0,0.5226825000000002,1.5185509999999998,0.15000000000000002
P62277,RPS13,ribosomal protein S13 [Source:HGNC Symbol;Acc:HGNC:10386],1,1,1,18,68,1,1.114223,1.5076879999999995,0.241953
Q9Y3U8,RPL36,ribosomal protein L36 [Source:HGNC Symbol;Acc:HGNC:13631],1,1,1,44,89,24,2.2912774999999996,2.0683650000000005,2.1188125
Q07020,RPL18,ribosomal protein L18 [Source:HGNC Symbol;Acc:HGNC:10310],1,1,1,35,84,26,2.0659425,1.82008,2.4384805000000003
P62829,RPL23,ribosomal protein L23 [Source:HGNC Symbol;Acc:HGNC:10316],1,1,1,29,76,10,1.7400355,1.6688989999999995,1.1961714999999997
P62913,RPL11,ribosomal protein L11 [Source:HGNC Symbol;Acc:HGNC:10301],1,1,1,15,32,2,1.058276,0.7649920000000001,0.3321295000000001
P62851,RPS25,ribosomal protein S25 [Source:HGNC Symbol;Acc:HGNC:10413],1,1,null,13,70,0,0.8835500000000001,1.3910680000000002,0.15000000000000002
P40429,RPL13A,ribosomal protein L13a [Source:HGNC Symbol;Acc:HGNC:10304],1,1,1,25,75,18,1.2874870000000005,1.5881575000000003,1.6948495000000003
P62269,RPS18,ribosomal protein S18 [Source:HGNC Symbol;Acc:HGNC:10401],1,1,1,16,68,4,0.9643510000000003,1.4094790000000001,0.525139
P49207,RPL34,ribosomal protein L34 [Source:HGNC Symbol;Acc:HGNC:10340],1,1,null,14,83,0,0.8649010000000001,1.75582,0.15000000000000002
P84098,RPL19,ribosomal protein L19 [Source:HGNC Symbol;Acc:HGNC:10312],1,1,1,48,96,12,2.5749055,2.2369795,1.2528920000000003
P62280,RPS11,ribosomal protein S11 [Source:HGNC Symbol;Acc:HGNC:10384],1,1,1,42,92,26,2.1788905,1.8723294999999998,2.3753424999999995
P61254,RPL26,ribosomal protein L26 [Source:HGNC Symbol;Acc:HGNC:10327],1,1,null,5,36,0,0.447908,0.8035055000000001,0.15000000000000002
P13693,TPT1,"tumor protein, translationally-controlled 1 [Source:HGNC Symbol;Acc:HGNC:12022]",1,2,null,8,35,0,0.5323129999999999,0.45961250000000003,0.15000000000000002
P23396,RPS3,ribosomal protein S3 [Source:HGNC Symbol;Acc:HGNC:10420],1,1,1,30,76,12,1.6567695000000002,1.5645275000000005,1.3063824999999998
P61247,RPS3A,ribosomal protein S3A [Source:HGNC Symbol;Acc:HGNC:10421],1,1,null,12,39,0,0.9110560000000001,0.9609424999999997,0.15000000000000002
P62249,RPS16,ribosomal protein S16 [Source:HGNC Symbol;Acc:HGNC:10396],1,1,1,39,77,25,1.9951459999999996,1.7211400000000001,2.2812305000000004
Q99471,PFDN5,prefoldin subunit 5 [Source:HGNC Symbol;Acc:HGNC:8869],1,1,null,20,86,0,1.0923780000000003,1.9080039999999998,0.15000000000000002
P42677,RPS27,ribosomal protein S27 [Source:HGNC Symbol;Acc:HGNC:10416],1,1,null,3,68,0,0.30880550000000007,1.4167465000000001,0.15000000000000002
P46782,RPS5,ribosomal protein S5 [Source:HGNC Symbol;Acc:HGNC:10426],1,1,1,18,62,4,1.2128315000000003,1.3150609999999998,0.476417
P62891,RPL39,ribosomal protein L39 [Source:HGNC Symbol;Acc:HGNC:10350],1,1,null,18,42,0,1.0301155,1.0541620000000003,0.15000000000000002
P62987,UBA52,ubiquitin A-52 residue ribosomal protein fusion product 1 [Source:HGNC Symbol;Acc:HGNC:12458],1,1,1,28,67,3,1.4133465000000005,1.5361714999999994,0.38206699999999993
P62979,RPS27A,ribosomal protein S27a [Source:HGNC Symbol;Acc:HGNC:10417],1,1,null,7,65,0,0.5146585000000001,1.5070929999999996,0.15000000000000002
O00217,NDUFS8,NADH:ubiquinone oxidoreductase core subunit S8 [Source:HGNC Symbol;Acc:HGNC:7715],0,1,0,51,37,16,4.0530215,1.2823785,2.1740115
Q9BQD7,FAM173A,family with sequence similarity 173 member A [Source:HGNC Symbol;Acc:HGNC:14152],0,1,0,28,6,2,2.4140345,0.47614500000000004,0.4157355
Q53H96,PYCR3,pyrroline-5-carboxylate reductase 3 [Source:HGNC Symbol;Acc:HGNC:25846],0,1,null,13,4,0,1.514896,0.29695650000000007,0.15000000000000002
Q5JVG8,ZNF506,zinc finger protein 506 [Source:HGNC Symbol;Acc:HGNC:23780],2,3,2,17,6,7,1.4876109999999998,0.21029050000000005,0.8624445000000002
Q6ZR52,ZNF493,zinc finger protein 493 [Source:HGNC Symbol;Acc:HGNC:23708],2,null,2,11,0,9,1.3484489999999996,0.15000000000000002,0.9685159999999998
Q9Y6R6,ZNF780B,zinc finger protein 780B [Source:HGNC Symbol;Acc:HGNC:33109],3,4,2,8,2,8,0.6827715,0.18910849999999998,0.8575655000000001
Q53TQ3,INO80D,INO80 complex subunit D [Source:HGNC Symbol;Acc:HGNC:25997],2,4,null,1,17,0,0.24492800000000003,0.4840075,0.15000000000000002
Q9Y2G7,ZFP30,ZFP30 zinc finger protein [Source:HGNC Symbol;Acc:HGNC:29555],2,4,3,29,9,2,2.0145600000000004,0.5931815,0.9022670000000003
Q9UKJ3,GPATCH8,G-patch domain containing 8 [Source:HGNC Symbol;Acc:HGNC:29066],3,4,4,71,71,14,2.458685,1.5676555,1.7638949999999998
Q6V9R5,ZNF562,zinc finger protein 562 [Source:HGNC Symbol;Acc:HGNC:25950],3,4,null,12,13,0,0.5848515000000001,0.6550190000000001,0.15000000000000002
Q9C0A6,SETD5,SET domain containing 5 [Source:HGNC Symbol;Acc:HGNC:25566],2,4,5,3,97,7,0.5458194999999999,2.7374509999999996,0.5134344999999999
Q8TF32,ZNF431,zinc finger protein 431 [Source:HGNC Symbol;Acc:HGNC:20809],2,4,2,10,23,5,1.8102965000000002,1.4324715,0.5000979999999999
Q96SQ5,ZNF587,zinc finger protein 587 [Source:HGNC Symbol;Acc:HGNC:30955],2,4,5,8,30,45,1.2664155,1.822902,2.056142
Q8TAU3,ZNF417,zinc finger protein 417 [Source:HGNC Symbol;Acc:HGNC:20646],3,4,2,31,15,5,2.049435500000001,0.935621,0.6033219999999999
Q9Y4K3,TRAF6,TNF receptor associated factor 6 [Source:HGNC Symbol;Acc:HGNC:12036],3,4,4,104,21,15,3.8053144999999993,0.7249654999999997,1.3591590000000005
Q8IVV7,GID4,GID complex subunit 4 homolog [Source:HGNC Symbol;Acc:HGNC:28453],3,null,null,2,0,0,0.23369099999999998,0.15000000000000002,0.15000000000000002
P28290,ITPRID2,ITPR interacting domain containing 2 [Source:HGNC Symbol;Acc:HGNC:11319],4,null,null,6,0,0,0.6185879999999998,0.15000000000000002,0.15000000000000002
Q9H0F5,RNF38,ring finger protein 38 [Source:HGNC Symbol;Acc:HGNC:18052],4,4,4,61,62,14,2.594226,1.169558,1.3509140000000002
Q9BXW6,OSBPL1A,oxysterol binding protein like 1A [Source:HGNC Symbol;Acc:HGNC:16398],3,null,null,3,0,0,0.3201530000000001,0.15000000000000002,0.15000000000000002
P35241,RDX,radixin [Source:HGNC Symbol;Acc:HGNC:9944],3,5,4,12,3,7,0.837701,0.19804200000000005,0.7966205000000001
Q9H1H9,KIF13A,kinesin family member 13A [Source:HGNC Symbol;Acc:HGNC:14566],3,4,4,34,47,14,1.358309,1.0596445000000003,0.961852
Q01082,SPTBN1,"spectrin beta, non-erythrocytic 1 [Source:HGNC Symbol;Acc:HGNC:11275]",5,4,6,20,3,1,1.3730055,0.22935600000000003,0.21593450000000006
Q9H2G2,SLK,STE20 like kinase [Source:HGNC Symbol;Acc:HGNC:11088],3,4,4,66,12,32,2.5137565,0.5872145000000001,2.3733450000000005
P23229,ITGA6,integrin subunit alpha 6 [Source:HGNC Symbol;Acc:HGNC:6142],6,null,null,30,0,0,1.3795334999999997,0.15000000000000002,0.15000000000000002
O60306,AQR,aquarius intron-binding spliceosomal factor [Source:HGNC Symbol;Acc:HGNC:29513],3,4,4,118,270,34,4.044844500000001,3.3804505,2.1362375
Q07157,TJP1,tight junction protein 1 [Source:HGNC Symbol;Acc:HGNC:11827],3,0,6,25,35,5,1.094741,1.5181684999999994,0.4559659999999999
Q9Y2A7,NCKAP1,NCK associated protein 1 [Source:HGNC Symbol;Acc:HGNC:7666],3,3,4,13,60,3,0.6187239999999999,0.9630505000000001,0.6620485000000002
Q13409,DYNC1I2,dynein cytoplasmic 1 intermediate chain 2 [Source:HGNC Symbol;Acc:HGNC:2964],3,3,4,7,25,1,0.51992,0.4600715,0.33708499999999997
P25054,APC,APC regulator of WNT signaling pathway [Source:HGNC Symbol;Acc:HGNC:583],3,4,4,36,129,39,1.5142755000000003,2.395394000000001,2.3559879999999995
O95405,ZFYVE9,zinc finger FYVE-type containing 9 [Source:HGNC Symbol;Acc:HGNC:6775],3,4,4,3,2,4,0.2676400000000001,0.23505100000000004,0.6146695
O95260,ATE1,arginyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:782],3,6,4,38,1,8,1.462094,0.9667224999999998,0.9033549999999999
