n.uniprot,n.name,n.description,n.match_community,n.normal_community,n.primary_community,n.match_degree,n.normal_degree,n.primary_degree,n.pagerank_match,n.pagerank_normal,n.pagerank_primary
O94777,DPM2,"dolichyl-phosphate mannosyltransferase subunit 2, regulatory [Source:HGNC Symbol;Acc:HGNC:3006]",0,0,0,25,139,3,0.485886,2.470517,0.24353400000000008
P60002,ELOF1,elongation factor 1 homolog [Source:HGNC Symbol;Acc:HGNC:28691],0,0,0,70,108,19,1.0939930000000002,1.8357539999999997,0.5045519999999999
O60673,REV3L,"REV3 like, DNA directed polymerase zeta catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9968]",0,0,0,56,69,27,1.0456619999999996,1.1781089999999999,0.9382474999999999
Q96GR4,ZDHHC12,zinc finger DHHC-type containing 12 [Source:HGNC Symbol;Acc:HGNC:19159],1,1,null,1,62,0,0.16626050000000003,1.5614420000000002,0.15000000000000002
Q8WWM7,ATXN2L,ataxin 2 like [Source:HGNC Symbol;Acc:HGNC:31326],0,2,null,8,26,0,0.45288049999999996,1.2584595000000007,0.15000000000000002
Q9H7M6,ZSWIM4,zinc finger SWIM-type containing 4 [Source:HGNC Symbol;Acc:HGNC:25704],null,3,null,0,1,0,0.15000000000000002,0.3207224999999999,0.15000000000000002
P26599,PTBP1,polypyrimidine tract binding protein 1 [Source:HGNC Symbol;Acc:HGNC:9583],null,3,null,0,6,0,0.15000000000000002,0.9876835,0.15000000000000002
Q9Y3C1,NOP16,NOP16 nucleolar protein [Source:HGNC Symbol;Acc:HGNC:26934],1,0,null,5,66,0,0.713499,1.006205,0.15000000000000002
P62945,RPL41,ribosomal protein L41 [Source:HGNC Symbol;Acc:HGNC:10354],null,0,null,0,49,0,0.15000000000000002,0.8042110000000001,0.15000000000000002
Q15024,EXOSC7,exosome component 7 [Source:HGNC Symbol;Acc:HGNC:28112],1,0,null,1,31,0,0.27481400000000006,0.9584689999999997,0.15000000000000002
Q9H7B2,RPF2,ribosome production factor 2 homolog [Source:HGNC Symbol;Acc:HGNC:20870],2,0,null,2,18,0,0.48678699999999997,0.3684245,0.15000000000000002
