n.uniprot,n.name,n.description,n.match_community,n.normal_community,n.primary_community,n.match_degree,n.normal_degree,n.primary_degree,n.pagerank_match,n.pagerank_normal,n.pagerank_primary
P61353,RPL27,ribosomal protein L27 [Source:HGNC Symbol;Acc:HGNC:10328],0,0,0,22,125,2,2.06573,1.5062854999999997,0.9172439999999998
P62829,RPL23,ribosomal protein L23 [Source:HGNC Symbol;Acc:HGNC:10316],0,0,1,24,95,1,2.3712964999999993,1.3105475,0.9667224999999998
O43292,GPAA1,glycosylphosphatidylinositol anchor attachment 1 [Source:HGNC Symbol;Acc:HGNC:4446],1,1,null,5,5,0,1.6827369999999995,0.5951279999999999,0.15000000000000002
Q6ZR52,ZNF493,zinc finger protein 493 [Source:HGNC Symbol;Acc:HGNC:23708],2,2,null,4,245,0,1.2917795000000003,1.8030120000000003,0.15000000000000002
Q49AG3,ZBED5,zinc finger BED-type containing 5 [Source:HGNC Symbol;Acc:HGNC:30803],2,2,null,1,195,0,0.38019699999999995,1.6059904999999994,0.15000000000000002
P52737,ZNF136,zinc finger protein 136 [Source:HGNC Symbol;Acc:HGNC:12920],2,3,null,4,3,0,1.209015,0.41782650000000005,0.15000000000000002
Q15928,ZNF141,zinc finger protein 141 [Source:HGNC Symbol;Acc:HGNC:12926],2,4,null,3,60,0,0.9352555,0.5139700000000001,0.15000000000000002
Q7L775,EPM2AIP1,EPM2A interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:19735],2,2,null,3,113,0,0.7426285,0.9645550000000003,0.15000000000000002
O75346,ZNF253,zinc finger protein 253 [Source:HGNC Symbol;Acc:HGNC:13497],2,2,2,5,16,1,1.6414609999999996,0.8089625,0.9667224999999998
Q86V71,ZNF429,zinc finger protein 429 [Source:HGNC Symbol;Acc:HGNC:20817],2,null,null,2,0,0,0.6531830000000001,0.15000000000000002,0.15000000000000002
Q49A88,CCDC14,coiled-coil domain containing 14 [Source:HGNC Symbol;Acc:HGNC:25766],2,2,null,4,436,0,0.981759,2.7765595000000003,0.15000000000000002
Q86UA1,PRPF39,pre-mRNA processing factor 39 [Source:HGNC Symbol;Acc:HGNC:20314],2,2,3,6,475,1,1.5572259999999998,3.1363815,0.9667224999999998
Q9UHX1,PUF60,poly(U) binding splicing factor 60 [Source:HGNC Symbol;Acc:HGNC:17042],1,0,4,9,2,2,2.6401770000000004,0.17571250000000005,1.253674
Q9H0F6,SHARPIN,SHANK associated RH domain interactor [Source:HGNC Symbol;Acc:HGNC:25321],1,1,5,4,20,2,1.312647,1.7622970000000002,1.4079830000000002
P0CB47,UBTFL1,upstream binding transcription factor like 1 [Source:HGNC Symbol;Acc:HGNC:14533],3,null,null,2,0,0,0.8248490000000004,0.15000000000000002,0.15000000000000002
A8MU76,null,null,3,null,null,3,0,0,1.2491775,0.15000000000000002,0.15000000000000002
P0DPI3,CENPVL2,centromere protein V like 2 [Source:HGNC Symbol;Acc:HGNC:43879],3,null,null,2,0,0,0.8248490000000004,0.15000000000000002,0.15000000000000002
Q9BPX3,NCAPG,non-SMC condensin I complex subunit G [Source:HGNC Symbol;Acc:HGNC:24304],4,5,6,156,47,133,2.2550250000000003,2.0304890000000007,2.1220255000000003
Q92698,RAD54L,RAD54 like [Source:HGNC Symbol;Acc:HGNC:9826],4,null,6,162,0,126,2.4434275,0.15000000000000002,2.355435499999999
Q15398,DLGAP5,DLG associated protein 5 [Source:HGNC Symbol;Acc:HGNC:16864],4,5,6,144,34,119,2.0695890000000006,1.4509845,1.9024365
P33981,TTK,TTK protein kinase [Source:HGNC Symbol;Acc:HGNC:12401],4,5,6,177,12,121,2.6847,0.617721,1.8688020000000003
Q86X60,FAM72B,family with sequence similarity 72 member B [Source:HGNC Symbol;Acc:HGNC:24805],4,null,6,138,0,98,1.9416979999999995,0.15000000000000002,1.4826724999999996
P11388,TOP2A,DNA topoisomerase II alpha [Source:HGNC Symbol;Acc:HGNC:11989],4,5,6,138,41,107,1.9924514999999998,1.8027909999999996,1.6525195000000004
Q96BD8,SKA1,spindle and kinetochore associated complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:28109],4,5,6,159,35,107,2.2764960000000003,1.545734,1.6212990000000003
Q5TB30,DEPDC1,DEP domain containing 1 [Source:HGNC Symbol;Acc:HGNC:22949],4,5,6,155,28,115,2.1940799999999996,1.222564,1.7927695000000006
Q9NVP2,ASF1B,anti-silencing function 1B histone chaperone [Source:HGNC Symbol;Acc:HGNC:20996],4,5,6,88,44,65,1.482579,1.8362895000000004,1.1548614999999998
P49450,CENPA,centromere protein A [Source:HGNC Symbol;Acc:HGNC:1851],4,5,6,147,13,122,2.0639194999999995,0.6329785000000002,1.9130869999999995
O14757,CHEK1,checkpoint kinase 1 [Source:HGNC Symbol;Acc:HGNC:1925],4,null,6,151,0,87,2.1704074999999996,0.15000000000000002,1.3574165
Q99741,CDC6,cell division cycle 6 [Source:HGNC Symbol;Acc:HGNC:1744],4,5,6,134,32,111,1.9609504999999998,1.4382685,1.7262909999999998
O75419,CDC45,cell division cycle 45 [Source:HGNC Symbol;Acc:HGNC:1739],4,5,6,142,14,101,2.073669,0.6724185000000003,1.724625
Q9ULW0,TPX2,TPX2 microtubule nucleation factor [Source:HGNC Symbol;Acc:HGNC:1249],4,5,6,163,44,133,2.3673439999999997,1.8810930000000001,2.080214
Q96AY2,EME1,essential meiotic structure-specific endonuclease 1 [Source:HGNC Symbol;Acc:HGNC:24965],4,null,6,107,0,41,1.7214800000000001,0.15000000000000002,0.8972690000000001
Q8IXT1,DDIAS,DNA damage induced apoptosis suppressor [Source:HGNC Symbol;Acc:HGNC:26351],4,null,6,119,0,32,1.7127504999999998,0.15000000000000002,0.5794965000000001
O14777,NDC80,NDC80 kinetochore complex component [Source:HGNC Symbol;Acc:HGNC:16909],4,5,6,139,27,113,1.9374820000000001,1.229007,1.7129715
Q9H3R5,CENPH,centromere protein H [Source:HGNC Symbol;Acc:HGNC:17268],4,null,6,78,0,2,1.1465229999999995,0.15000000000000002,0.17706400000000008
P39748,FEN1,flap structure-specific endonuclease 1 [Source:HGNC Symbol;Acc:HGNC:3650],4,null,6,87,0,52,1.7711285000000003,0.15000000000000002,0.8957814999999999
Q03252,LMNB2,lamin B2 [Source:HGNC Symbol;Acc:HGNC:6638],4,1,6,74,13,2,1.181118,0.7641250000000002,0.2063125
Q8NBT2,SPC24,SPC24 component of NDC80 kinetochore complex [Source:HGNC Symbol;Acc:HGNC:26913],4,null,6,89,0,74,1.283747,0.15000000000000002,1.2684215000000003
Q9NSV4,DIAPH3,diaphanous related formin 3 [Source:HGNC Symbol;Acc:HGNC:15480],4,null,6,113,0,43,1.597669,0.15000000000000002,0.7873045
P53350,PLK1,polo like kinase 1 [Source:HGNC Symbol;Acc:HGNC:9077],4,5,6,140,21,100,1.9472654999999996,1.0015384999999999,1.5111135
Q9NYZ3,GTSE1,G2 and S-phase expressed 1 [Source:HGNC Symbol;Acc:HGNC:13698],4,5,6,129,26,113,1.800598,1.1629874999999998,1.764864
