n.uniprot,n.name,n.description,n.match_community,n.normal_community,n.primary_community,n.match_degree,n.normal_degree,n.primary_degree,n.pagerank_match,n.pagerank_normal,n.pagerank_primary
Q9H8G1,ZNF430,zinc finger protein 430 [Source:HGNC Symbol;Acc:HGNC:20808],0,0,null,2,1441,0,0.9662889999999998,2.348805499999999,0.15000000000000002
Q8TF32,ZNF431,zinc finger protein 431 [Source:HGNC Symbol;Acc:HGNC:20809],0,0,null,2,1595,0,0.9662889999999998,2.602539,0.15000000000000002
Q9Y285,FARSA,phenylalanyl-tRNA synthetase subunit alpha [Source:HGNC Symbol;Acc:HGNC:3592],1,1,0,3,916,1,0.9057095000000001,2.6687455000000004,0.9667224999999998
Q9BYD3,MRPL4,mitochondrial ribosomal protein L4 [Source:HGNC Symbol;Acc:HGNC:14276],1,1,null,3,225,0,0.9995580000000001,1.087737,0.15000000000000002
Q5VZY2,PLPP4,phospholipid phosphatase 4 [Source:HGNC Symbol;Acc:HGNC:23531],2,null,1,33,0,18,1.5038374999999997,0.15000000000000002,0.8543610000000001
Q70CQ2,USP34,ubiquitin specific peptidase 34 [Source:HGNC Symbol;Acc:HGNC:20066],3,0,2,8,303,18,2.3960994999999996,1.2534955000000003,3.3479804999999994
P08574,CYC1,cytochrome c1 [Source:HGNC Symbol;Acc:HGNC:2579],4,1,3,8,5,8,0.8225199999999998,0.325831,1.0489769999999998
Q3MIX3,ADCK5,aarF domain containing kinase 5 [Source:HGNC Symbol;Acc:HGNC:21738],4,1,3,17,531,5,1.654024,1.6151450000000003,0.8611015000000001
Q14160,SCRIB,scribble planar cell polarity protein [Source:HGNC Symbol;Acc:HGNC:30377],4,1,3,16,708,8,1.5546420000000003,2.001436,1.4309500000000002
Q9UHX1,PUF60,poly(U) binding splicing factor 60 [Source:HGNC Symbol;Acc:HGNC:17042],4,1,3,21,777,10,2.0152314999999996,2.3058124999999996,1.3263574999999994
Q9NPD3,EXOSC4,exosome component 4 [Source:HGNC Symbol;Acc:HGNC:18189],4,1,3,13,584,14,1.2645199999999999,1.9240774999999997,1.8234034999999995
Q9UK41,VPS28,VPS28 subunit of ESCRT-I [Source:HGNC Symbol;Acc:HGNC:18178],4,1,3,6,163,5,0.6476919999999999,0.9335894999999999,0.7317484999999999
Q53EQ6,TIGD5,tigger transposable element derived 5 [Source:HGNC Symbol;Acc:HGNC:18336],4,1,3,9,325,4,0.9365560000000003,1.0206805,0.698981
Q6ZMK1,CYHR1,cysteine and histidine rich 1 [Source:HGNC Symbol;Acc:HGNC:17806],4,1,3,19,458,13,1.960942,1.6177715000000001,2.0243349999999998
Q00613,HSF1,heat shock transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:5224],4,1,3,20,62,12,1.8769025,0.45803999999999995,1.5934954999999997
