n.uniprot,n.name,n.description,n.match_community,n.normal_community,n.primary_community,n.match_degree,n.normal_degree,n.primary_degree,n.pagerank_match,n.pagerank_normal,n.pagerank_primary
P62829,RPL23,ribosomal protein L23 [Source:HGNC Symbol;Acc:HGNC:10316],0,0,0,6,85,2,1.3320780000000003,1.2317524999999996,1.4079830000000002
Q8IYN0,ZNF100,zinc finger protein 100 [Source:HGNC Symbol;Acc:HGNC:12880],null,null,1,0,0,1,0.15000000000000002,0.15000000000000002,0.9667224999999998
A0A0B4J1X5,IGHV3-74,immunoglobulin heavy variable 3-74 [Source:HGNC Symbol;Acc:HGNC:5624],1,1,2,108,36,91,1.577592,1.4712655000000001,1.3300635
A0A0B4J1V1,IGHV3-21,immunoglobulin heavy variable 3-21 [Source:HGNC Symbol;Acc:HGNC:5586],1,1,2,92,51,93,1.3614199999999996,1.9912615,1.398854
P01704,IGLV2-14,immunoglobulin lambda variable 2-14 [Source:HGNC Symbol;Acc:HGNC:5888],1,1,2,108,48,92,1.6820060000000001,1.9946955000000002,1.3361324999999997
P01594,IGKV1-33,immunoglobulin kappa variable 1-33 [Source:HGNC Symbol;Acc:HGNC:5737],1,null,2,86,0,78,1.2813244999999998,0.15000000000000002,1.14263
P01619,IGKV3-20,immunoglobulin kappa variable 3-20 [Source:HGNC Symbol;Acc:HGNC:5817],1,1,2,103,68,101,1.6349414999999998,2.9123215000000005,1.5601330000000004
P01715,IGLV3-1,immunoglobulin lambda variable 3-1 [Source:HGNC Symbol;Acc:HGNC:5896],1,1,2,77,27,100,1.1421625000000002,1.1646279999999998,1.4784225000000002
P80748,IGLV3-21,immunoglobulin lambda variable 3-21 [Source:HGNC Symbol;Acc:HGNC:5905],1,1,2,89,6,74,1.3240794999999999,0.3613015,1.1033345
P01817,IGHV2-5,immunoglobulin heavy variable 2-5 [Source:HGNC Symbol;Acc:HGNC:5576],1,1,2,58,4,39,0.8928490000000001,0.31826600000000005,0.6482954999999998
Q02223,TNFRSF17,TNF receptor superfamily member 17 [Source:HGNC Symbol;Acc:HGNC:11913],1,1,2,110,40,112,1.6161480000000001,1.6391405000000001,1.7197374999999997
P01762,IGHV3-11,immunoglobulin heavy variable 3-11 (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:5580],1,1,2,69,47,61,1.0662235,1.8404034999999999,0.9242819999999997
P01706,IGLV2-11,immunoglobulin lambda variable 2-11 [Source:HGNC Symbol;Acc:HGNC:5887],1,1,2,105,37,77,1.5395885000000002,1.393023,1.129438
Q8WU39,MZB1,marginal zone B and B1 cell specific protein [Source:HGNC Symbol;Acc:HGNC:30125],1,1,2,113,61,121,1.6697745,2.6133935000000004,2.1172315
P06312,IGKV4-1,immunoglobulin kappa variable 4-1 [Source:HGNC Symbol;Acc:HGNC:5834],1,1,2,99,53,91,1.4828595,2.1154295,1.336889
P01721,IGLV6-57,immunoglobulin lambda variable 6-57 [Source:HGNC Symbol;Acc:HGNC:5927],1,1,2,92,19,82,1.3590655,0.806234,1.2006170000000003
A0A0B4J1V0,IGHV3-15,immunoglobulin heavy variable 3-15 [Source:HGNC Symbol;Acc:HGNC:5582],1,1,2,90,64,89,1.3478030000000005,2.4769684999999995,1.3024895000000003
P04432,IGKV1D-39,immunoglobulin kappa variable 1D-39 [Source:HGNC Symbol;Acc:HGNC:5756],1,1,2,83,17,79,1.2408219999999999,0.7572569999999998,1.1615595000000003
P01709,IGLV2-8,immunoglobulin lambda variable 2-8 [Source:HGNC Symbol;Acc:HGNC:5895],1,1,2,51,10,72,0.8275520000000004,0.48875900000000005,1.1220854999999998
P01701,IGLV1-51,immunoglobulin lambda variable 1-51 [Source:HGNC Symbol;Acc:HGNC:5882],1,1,2,76,17,101,1.12767,0.7256965,1.4981934999999997
P01703,IGLV1-40,immunoglobulin lambda variable 1-40 [Source:HGNC Symbol;Acc:HGNC:5877],1,1,2,103,34,98,1.5652669999999997,1.2974405,1.4284679999999998
A0A0B4J2H0,IGHV1-69D,immunoglobulin heavy variable 1-69D [Source:HGNC Symbol;Acc:HGNC:49601],1,1,2,65,26,55,1.0203575,1.0682635,0.8496350000000001
P01767,IGHV3-53,immunoglobulin heavy variable 3-53 [Source:HGNC Symbol;Acc:HGNC:5610],1,1,2,61,1,72,0.9293734999999999,0.2129765,1.0642770000000001
A0A087WSY6,IGKV3D-15,immunoglobulin kappa variable 3D-15 (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:5824],1,1,2,40,54,53,0.6659500000000003,2.102925999999999,0.8217295
P01699,IGLV1-44,immunoglobulin lambda variable 1-44 [Source:HGNC Symbol;Acc:HGNC:5879],1,1,2,93,50,95,1.3745355,1.945727,1.396542
Q96RD9,FCRL5,Fc receptor like 5 [Source:HGNC Symbol;Acc:HGNC:18508],1,1,2,72,61,121,1.1201645,2.471163,1.9550004999999997
P04433,IGKV3-11,immunoglobulin kappa variable 3-11 [Source:HGNC Symbol;Acc:HGNC:5815],1,1,2,96,68,113,1.4303635000000001,2.6644954999999997,1.9317445000000002
A0A0C4DH42,IGHV3-66,immunoglobulin heavy variable 3-66 [Source:HGNC Symbol;Acc:HGNC:5619],1,null,2,22,0,42,0.4417539999999999,0.15000000000000002,0.7503719999999999
A0A0C4DH72,IGKV1-6,immunoglobulin kappa variable 1-6 [Source:HGNC Symbol;Acc:HGNC:5742],1,1,2,86,51,92,1.3059999999999998,2.0221505000000004,1.3718664999999997
P01743,IGHV1-46,immunoglobulin heavy variable 1-46 [Source:HGNC Symbol;Acc:HGNC:5554],1,1,2,54,17,72,0.8682329999999998,0.712207,1.0708900000000001
P01597,IGKV1-39,immunoglobulin kappa variable 1-39 (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:5740],1,1,2,82,15,91,1.2220285000000002,0.6683129999999998,1.3415044999999999
P0DOY2,IGLC2,immunoglobulin lambda constant 2 [Source:HGNC Symbol;Acc:HGNC:5856],1,1,2,110,52,115,1.653208,2.0422614999999995,2.045432
A0A0C4DH67,IGKV1-8,immunoglobulin kappa variable 1-8 [Source:HGNC Symbol;Acc:HGNC:5743],1,1,2,98,47,80,1.5086995000000003,1.7805889999999998,1.1744795000000001
P01859,IGHG2,immunoglobulin heavy constant gamma 2 (G2m marker) [Source:HGNC Symbol;Acc:HGNC:5526],1,1,2,100,46,91,1.5023669999999998,1.8687934999999998,1.3994914999999997
Q8IWV1,LAX1,lymphocyte transmembrane adaptor 1 [Source:HGNC Symbol;Acc:HGNC:26005],1,1,2,102,3,123,1.5402259999999999,0.6834684999999998,1.6963795000000004
A0A0A0MS15,IGHV3-49,immunoglobulin heavy variable 3-49 [Source:HGNC Symbol;Acc:HGNC:5607],1,1,2,100,28,66,1.4693104999999995,1.2241789999999997,0.9915085000000001
P11912,CD79A,CD79a molecule [Source:HGNC Symbol;Acc:HGNC:1698],1,1,2,121,50,120,1.7944269999999998,2.28214,1.9814014999999998
A0A0C4DH38,IGHV5-51,immunoglobulin heavy variable 5-51 [Source:HGNC Symbol;Acc:HGNC:5659],1,1,2,91,52,106,1.3350615,2.0707705,1.566882
P01857,IGHG1,immunoglobulin heavy constant gamma 1 (G1m marker) [Source:HGNC Symbol;Acc:HGNC:5525],1,1,2,104,58,101,1.5501965000000004,2.2953574999999993,1.6255320000000002
P01825,IGHV4-59,immunoglobulin heavy variable 4-59 [Source:HGNC Symbol;Acc:HGNC:5654],1,1,2,116,41,102,1.7668955,1.5655559999999997,1.5944474999999998
Q96Q80,DERL3,derlin 3 [Source:HGNC Symbol;Acc:HGNC:14236],1,1,2,41,47,88,0.6727670000000001,1.838712,1.288422
P04430,IGKV1-16,immunoglobulin kappa variable 1-16 [Source:HGNC Symbol;Acc:HGNC:5732],1,1,2,72,43,66,1.0803165,1.7305155,0.9854310000000001
P01714,IGLV3-19,immunoglobulin lambda variable 3-19 [Source:HGNC Symbol;Acc:HGNC:5903],1,1,2,51,18,60,0.7946314999999998,0.7644905000000002,0.9066700000000002
P0DP03,IGHV3-30,immunoglobulin heavy variable 3-30 [Source:HGNC Symbol;Acc:HGNC:5591],1,1,2,97,24,79,1.435217,0.997025,1.158168
B9A064,IGLL5,immunoglobulin lambda like polypeptide 5 [Source:HGNC Symbol;Acc:HGNC:38476],1,1,2,99,37,107,1.470458,1.4478820000000001,1.6103340000000002
